name,type,focus,location,email,contact,aum,notable_investments
Andreessen Horowitz (a16z),VC,Crypto/FinTech,USA,crypto@a16z.com,Chris Dixon,$35B,"Coinbase, Uniswap"
Sequoia Capital,VC,FinTech/Enterprise,USA,info@sequoiacap.com,Alfred Lin,$85B,"Stripe, Klarna"
Accel Partners,VC,FinTech/SaaS,USA/Europe,info@accel.com,Sonali De Rycker,$25B,"Wise, Checkout.com"
Index Ventures,VC,FinTech/B2B,Europe/USA,info@indexventures.com,Jan Hammer,$8B,"Revolut, Robinhood"
Lightspeed Venture Partners,VC,FinTech/Enterprise,USA,info@lsvp.com,Jeremy Liew,$25B,"Affirm, Mulesoft"
Paradigm,Crypto VC,DeFi/Infrastructure,USA,hello@paradigm.xyz,Matt Huang,$13B,"Uniswap, Compound"
Pantera Capital,Crypto VC,Blockchain/DeFi,USA,info@panteracapital.com,Dan Morehead,$5B,"Bitstamp, Circle"
Digital Currency Group,Crypto VC,Blockchain/FinTech,USA,info@dcg.co,Barry Silbert,$1B,"Coinbase, Ripple"
Blockchain Capital,Crypto VC,Blockchain Infrastructure,USA,info@blockchain.capital,Bart Stephens,$1.5B,"Kraken, Coinbase"
Polychain Capital,Crypto VC,Web3/DeFi,USA,info@polychain.capital,Olaf Carlson-Wee,$3B,"Compound, MakerDAO"
JPMorgan Chase Strategic Investments,Corporate VC,FinTech/Payments,USA,innovation@jpmorgan.com,Matt Harris,$50B,"Digital Asset, Mosaic"
Goldman Sachs Principal Strategic Investments,Corporate VC,FinTech/RegTech,USA,psi@gs.com,David Campbell,$25B,"Circle, Kensho"
Visa Ventures,Corporate VC,Payments/FinTech,USA,ventures@visa.com,Terry Angelos,$500M,"Klarna, Plaid"
Mastercard Start Path,Corporate VC,Payments/Security,USA,startpath@mastercard.com,Ken Moore,$1B,"R3, Digital Asset"
American Express Ventures,Corporate VC,FinTech/B2B,USA,ventures@aexp.com,Harshul Sanghi,$200M,"Kabbage, Ramp"
Balderton Capital,VC,FinTech/B2B,UK,info@balderton.com,Suranga Chandratillake,$3B,"Revolut, GoCardless"
Atomico,VC,FinTech/Scale-ups,UK,info@atomico.com,Niklas Zennström,$2.7B,"Klarna, MessageBird"
Northzone,VC,FinTech/SaaS,Europe,info@northzone.com,Pär-Jörgen Pärson,$2B,"Klarna, iZettle"
Creandum,VC,FinTech/B2B,Sweden,info@creandum.com,Carl Fritjofsson,$500M,"Klarna, iZettle"
Dawn Capital,VC,B2B FinTech,UK,info@dawncapital.com,Haakon Overli,$1B,"Tink, Mambu"
SoftBank Vision Fund,Mega Fund,FinTech/AI,Japan,info@visionfund.com,Rajeev Misra,$100B,"Paytm, Grab"
Tencent Investment,Corporate VC,FinTech/Payments,China,investment@tencent.com,David Wallerstein,$50B,"Nubank, Sea Limited"
Ant Group,Corporate VC,FinTech/Payments,China,investment@antgroup.com,Eric Jing,$10B,"Paytm, Kakao Pay"
GGV Capital,VC,FinTech/Enterprise,USA/China,info@ggvc.com,Hans Tung,$9.2B,"Klarna, Airwallex"
Vertex Ventures,VC,FinTech/B2B,Singapore,info@vertexventures.com,Chua Kee Lock,$4.5B,"Grab, Sea Limited"
Illuminate Financial,Specialized VC,RegTech/Compliance,USA,info@illuminate.com,Charley Ma,$500M,"Chainalysis, Elliptic"
FinTech Collective,Specialized VC,FinTech/RegTech,USA,info@fintechcollective.com,Brooks Gibbins,$400M,"Chainalysis, TRM Labs"
Nyca Partners,Specialized VC,FinTech/Infrastructure,USA,info@nyca.com,Hans Morris,$1B,"Plaid, Alloy"
Anthemis Group,Specialized VC,FinTech/RegTech,UK/USA,info@anthemis.com,Sean Park,$500M,"Chainalysis, Betterment"
QED Investors,Specialized VC,FinTech/Payments,USA,info@qedinvestors.com,Nigel Morris,$3B,"Nubank, Credit Karma"
In-Q-Tel,Strategic VC,Security/RegTech,USA,info@iqt.org,Christopher Darby,$3B,"Palantir, Chainalysis"
CDPQ (Caisse de dépôt),Sovereign Fund,FinTech/Infrastructure,Canada,info@cdpq.com,Charles Emond,$420B,"Paymi, Nuvei"
Singapore GIC,Sovereign Fund,FinTech/Tech,Singapore,info@gic.com.sg,Lim Chow Kiat,$690B,"Ant Financial, Grab"
Temasek Holdings,Sovereign Fund,FinTech/Digital,Singapore,info@temasek.com.sg,Ho Ching,$380B,"Ant Financial, FTX"
Naval Ravikant,Angel,Crypto/FinTech,USA,naval@angellist.com,Naval Ravikant,$100M+,"Coinbase, AngelList"
Tim Draper,Angel/VC,Crypto/FinTech,USA,tim@drapervc.com,Tim Draper,$1B,"Coinbase, Robinhood"
Reid Hoffman,Angel,FinTech/B2B,USA,reid@greylock.com,Reid Hoffman,$500M+,"Airbnb, Facebook"
Marc Benioff,Angel,Enterprise/FinTech,USA,marc@salesforce.com,Marc Benioff,$10B+,"Uber, Slack"
